name_pl,proxy_fdc,sfa,sugar,ca,fe,mg,k,na,zn,vitc,vitd_iu,b12,folate,epa,dha,iodine
Napój sojowy,172446,0.205,3.99,25.0,0.64,25.0,118.0,51.0,0.12,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Ryż biały (suchy),169756,0.18,0.12,28.0,0.8,25.0,115.0,5.0,1.09,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Ryż brązowy (suchy),169703,0.591,0.66,9.0,1.29,116.0,250.0,5.0,2.13,0.0,0.0,0.0,23.0,0.0,0.0,0.0
Kasza gryczana (sucha),170685,0.591,0.0,17.0,2.47,221.0,320.0,11.0,2.42,0.0,0.0,0.0,42.0,0.0,0.0,0.0
Kasza jaglana (sucha),169702,0.723,0.0,8.0,3.01,114.0,195.0,5.0,1.68,0.0,0.0,0.0,85.0,0.0,0.0,0.0
Kasza pęczak (sucha),170284,0.244,0.8,29.0,2.5,79.0,280.0,9.0,2.13,0.0,0.0,0.0,23.0,0.0,0.0,0.0
Kasza bulgur (sucha),170688,0.232,0.41,35.0,2.46,164.0,410.0,17.0,1.93,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Kuskus (suchy),169699,0.117,0.0,24.0,1.08,44.0,166.0,10.0,0.83,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Komosa ryżowa (sucha),168874,0.706,0.0,47.0,4.57,197.0,563.0,5.0,3.1,0.0,0.0,0.0,184.0,0.0,0.047,0.0
Makaron pszenny (suchy),168927,0.277,2.67,21.0,1.3,53.0,223.0,6.0,1.41,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Makaron pełnoziarnisty (suchy),169738,0.428,2.74,29.0,3.62,128.0,434.0,6.0,2.97,0.0,0.0,0.0,69.0,0.0,0.0,0.0
Makaron ryżowy (suchy),169742,0.153,0.12,18.0,0.7,12.0,30.0,182.0,0.74,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Płatki owsiane,173904,1.11,0.99,52.0,4.25,138.0,362.0,6.0,3.64,0.0,0.0,0.0,32.0,0.0,0.0,0.0
Ziemniaki (surowe),170026,0.025,0.82,12.0,0.81,23.0,425.0,6.0,0.3,19.7,0.0,0.0,15.0,0.0,0.0,0.0
Batat (surowy),168482,0.018,4.18,30.0,0.61,25.0,337.0,55.0,0.3,2.4,0.0,0.0,11.0,0.0,0.0,0.0
Chleb żytni,172684,0.626,3.85,73.0,2.83,40.0,166.0,603.0,1.14,0.4,0.0,0.0,110.0,0.0,0.0,0.0
Chleb pełnoziarnisty,172688,0.722,4.34,161.0,2.47,75.0,254.0,455.0,1.77,0.0,0.0,0.0,42.0,0.0,0.0,0.0
Tortilla pszenna,175037,2.924,3.71,146.0,3.63,22.0,125.0,736.0,0.53,0.0,0.0,0.0,94.0,0.0,0.0,0.0
Mąka pszenna,169761,0.155,0.27,15.0,1.17,22.0,107.0,2.0,0.7,0.0,0.0,0.0,26.0,0.0,0.0,0.0
Mąka pełnoziarnista,168893,0.43,0.41,34.0,3.6,137.0,363.0,2.0,2.6,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Miód,169640,0.0,82.12,6.0,0.42,2.0,52.0,4.0,0.22,0.5,0.0,0.0,2.0,0.0,0.0,0.0
Dżem,169641,0.01,48.5,20.0,0.49,4.0,77.0,32.0,0.06,8.8,0.0,0.0,11.0,0.0,0.0,0.0
Oliwa z oliwek,171413,13.808,0.0,1.0,0.56,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olej rzepakowy,172336,7.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masło orzechowe,172470,10.325,10.49,49.0,1.74,168.0,558.0,17.0,2.51,0.0,0.0,0.0,87.0,0.0,0.0,0.0
